26⥌1.69⥌Weihnachtsfigürchen⁵⥌WINTERTRAUM;Engel oder Weihnachtsmann, Vollmilchschokolade, je 62,5-g-Packung,⥌aldi
21⥌1.79⥌Milch-Mäuse-Schneebälle⥌CHOCEUR;Milchcreme mit Haselnuss oder Milchcreme,⥌aldi
  ⥌1.49⥌Weihnachtsmann⥌WINTERTRAUM;Vollmilchschokolade, je 110-g-Figur,⥌aldi
35⥌0.89⥌Jamaica-Rumkugeln⁵⥌WINTERTRAUM;Enthält Alkohol, je 200-g-Packung,⥌aldi
26⥌2.19⥌Bio-Weihnachtsgebäck⁵⥌BIO;Dinkel-Spritzgebäck, mit Zartbitterschokolade, je 175-g- Packung, kg-Preis 12.51⥌aldi
26⥌2.19⥌Bio-Weihnachtsgebäck⁵⥌BIO;Dominosteine, doppelt gefüllt,⥌aldi
26⥌2.19⥌Bio-Weihnachtsgebäck⁵⥌BIO;Zimtsterne, feinwürzig, je 115-g- Packung,⥌aldi
18⥌3.49⥌Bio-Mini-Elisenlebkuchen⁵⥌GUT BIO;Glasiert oder Schokoliert, je 150-g-Packung, kg-Preis 23.27⥌aldi
17⥌4.69⥌Nürnberger Elisenlebkuchen⥌WINTERTRAUM;Hochveredelt in 3 Sorten, je 300-g-Packung, kg-Preis 15.63⥌aldi
22⥌1.39⥌Adventskalender⥌WINTERTRAUM;Verschiedene Motive, mit Vollmilchschokolade, je 75-g-Packung, kg-Preis 18.53⥌aldi
  ⥌1.49⥌Pfirsiche⥌;Ursprung: Spanien / Italien, Klasse I, 500-g-Schale, kg-Preis 2.98⥌aldi
  ⥌0.55⥌Kiwi, gold⥌ZESPRI;Ursprung: Neuseeland, Klasse I, Stück⥌aldi
16⥌1.25⥌Rispentomaten⥌;Ursprung: Deutschland, Klasse I, 650-g-Schale, kg-Preis 1.93⥌aldi
  ⥌1.59⥌Mandarinen, kernlos⥌;Ursprung: Südafrika, Klasse I, 750-g-Netz,⥌aldi
  ⥌1.99⥌Äpfel⥌ALDIAMO;Ursprung: Deutschland, Klasse I, neue Ernte, Saisonstart, lose, kg-Preis⥌aldi
  ⥌0.55⥌Kiwi Sungold⥌ZESPRI;Ursprung: Neuseeland, Klasse I, Stück⥌aldi
  ⥌0.49⥌Grapefruit⥌;Ursprung: Spanien, Klasse I, Stück⥌aldi
  ⥌1.69⥌Bio Fairtrade Limetten⥌;Ursprung: siehe Etikett, Klasse II,⥌aldi
  ⥌1.99⥌Orangen⥌KLEINE SCHÄTZE;Ursprung: Argentinien / Uruguay / Südafrika, Klasse I, lose, kg-Preis⥌aldi
  ⥌1.79⥌Äpfel Krumme Dinger⥌;Ursprung: Deutschland, Klasse II, 2-kg-Tasche, kg-Preis 0.90⥌aldi
  ⥌1.59⥌Birnen grün⥌;Ursprung: Deutschland, Klasse I, 1-kg-Schale⥌aldi
  ⥌1.39⥌Trauben, hell⥌;Ursprung: siehe Etikett, Klasse I, kernlos,⥌aldi
  ⥌1.69⥌Paprika, rot⥌;Ursprung: Spanien / Marokko, Klasse I, lose,⥌aldi
  ⥌0.69⥌Gurke⥌;Ursprung: Spanien / Marokko / Griechenland, Klasse I, Stück⥌aldi
  ⥌1.45⥌Bio-Champignons, braun⥌;Ursprung: Deutschland / Niederlande / Polen, Klasse I, 250-g-Schale, kg-Preis 5.80⥌aldi
  ⥌1.11⥌Bio Naturland Hokkaido⥌;Ursprung: Deutschland, lose, kg-Preis⥌aldi
  ⥌1.99⥌Speisekartoffeln⥌;Ursprung: Deutschland, vorwiegend festkochend, 4-kg-Beutel, kg-Preis 0.50⥌aldi
  ⥌0.79⥌Rosenkohl⥌;Ursprung: siehe Etikett, Klasse I, 750-g-Beutel, kg-Preis 1.05⥌aldi
  ⥌0.69⥌Fresh Cut Salate⥌;Rohkost-Mix, Ursprung: siehe Etikett,⥌aldi
  ⥌0.69⥌Fresh Cut Salate⥌;Eisberg-Mix, Ursprung: siehe Etikett,⥌aldi
  ⥌3.99⥌Halloween Kürbis⥌;Ursprung: Deutschland, Stück⥌aldi
18⥌5.99⥌Bio-Steak⥌BIO;Vom Rind, Haltungsform 5², verschiedene Sorten und Gewichte, z. B. 244 g,⥌aldi
  ⥌8.49⥌Bio-Landhähnchen⥌NUR NUR NATUR;Ganzes frisches Hähnchen, ohne Hals und Innereien, Haltungsform 5², HKL A, Naturland-zertifiziert, versch. Gewichte, z. B. 1.530 g für 12.99, kg-Preis⥌aldi
20⥌4.39⥌Gemischtes Hackfleisch⥌FAIR & GUT;Aus Rind- und Schweinefleisch, Haltungsform 3², Herkunft aus Deutschland,⥌aldi
20⥌3.79⥌Puten-Minifilets⥌FAIR & GUT;Aus dem Putenbrustfilet, Haltungsform 3², Herkunft aus Deutschland, je 350-g-Packung, kg-Preis 10.83⥌aldi
21⥌3.29⥌Gulasch⥌MEINE METZGEREI;Vom Schwein, Haltungsform 2², Initiative Tierwohl, Herkunft aus Deutschland,⥌aldi
18⥌8.19⥌Hähnchen-Brustfilet⥌MEINE METZGEREI;XXL-Packung, Haltungsform 2², Initiative Tierwohl, ohne Gentechnik, ATC-zertifiziert,⥌aldi
17⥌6.99⥌Hähnchenschenkel mit Rückenstück⥌MEINE METZGEREI;XXL-Packung, Haltungsform 2², Herkunft aus Deutschland, HKL A, je 2-kg-Packung,⥌aldi
