  ⥌6.49⥌MÜHLENHOF Frische Rinder-Beinscheiben*⥌;je 700-g-Packung (1 kg = 9.27)⥌penny
  ⥌4.29⥌MEISTERKLASSE Hähnchen­wiener*⥌;je 600 g (1 kg = 7.15)⥌penny
  ⥌2.99⥌HAUSMARKE Metzgerfleischwurst*⥌;je 500 g (1 kg = 5.98)⥌penny
  ⥌1.99⥌GUTFRIED Kleine Hähnchen-Wiener*⥌;je 380 g (1 kg = 13.27)⥌penny
  ⥌1.99⥌BÖKLUNDER Kleine Wiener*⥌;je 380 g (1 kg = 13.27)⥌penny
10⥌2.22⥌TULIP Frühstücksfleisch*⥌;je 340 g (1 kg = 6.53)⥌penny
42⥌1.49⥌HERTA Finesse Aufschnitt*⥌;je 100 g (1 kg = 14.90)⥌penny
10⥌3.29⥌BUTCHER’S Frische Beef Burger Patties⥌;mit App: je 250-g-Packung (1 kg = 13.16); ohne App: je 250-g-Packung 3.69 (1 kg = 14.76)⥌penny
20⥌2.79⥌MÜHLENHOF Bayerischer Leberkäse⥌;mit App: je 400 g (1 kg = 6.98); ohne App: je 400 g 3.49 (1 kg = 8.73)⥌penny
46⥌1.49⥌MC CAIN 1-2-3 Frites Original⥌;je 750 g (1 kg = 1.99)⥌penny
46⥌1.49⥌MC CAIN Rustic Chips*⥌;je 500 g (1 kg = 2.98)⥌penny
46⥌1.29⥌BRESSO Frischkäse⥌;je 150 g (1 kg = 8.60)⥌penny
46⥌1.29⥌BRESSO Portionen*⥌;je 8 x 15 g (1 kg = 10.75)⥌penny
31⥌1.49⥌BÜRGER Maultaschen*⥌;je 360 g (1 kg = 4.14)⥌penny
31⥌1.49⥌BÜRGER Bio Maultaschen*⥌;je 300 g (1 kg = 4.97)⥌penny
44⥌1.11⥌BIRKEL Pasta*⥌;je 500 g (1 kg = 2.22)⥌penny
25⥌1.49⥌HENGSTENBERG Mildessa Mildes Sauerkraut*⥌;je 400 g (1 kg = 4.26)⥌penny
25⥌1.49⥌HENGSTENBERG Mildessa Genießer Rotkohl*⥌;je 400 g (1 kg = 3.73)⥌penny
41⥌0.99⥌ALPIA Schokolade*⥌;je 100 g (1 kg = 9.90)⥌penny
  ⥌3.49⥌PICK UP! Minis XXL*⥌;je 233 g (1 kg = 14.98)⥌penny
31⥌1.49⥌LORENZ Saltletts⥌;je 150 g (1 kg = 9.93)⥌penny
  ⥌2.99⥌SCHAUMA Shampoo*⥌;je 750 ml (1 l = 3.99)⥌penny
41⥌0.99⥌GRANINI Die Limo*⥌;je 1 I⥌penny
37⥌6.49⥌MELITTA Kaffee⥌;mit App: je 500 g (1 kg = 12.98); ohne App: je 500 g (1 kg = 13.98)⥌penny
  ⥌1.39⥌BEN’S ORIGINAL Express Reis*⥌;je 220 g (1 kg = 6.32)⥌penny
  ⥌1.39⥌BEN’S ORIGINAL Reis-Klassiker*⥌;je 250 g (1 kg = 5.56)⥌penny
  ⥌0.69⥌KNORR Suppenliebe*⥌;je 500 ml (1 l = 1.38)⥌penny
  ⥌1.49⥌KNORR Spaghetteria⥌;je 181 g (1 kg = 8.23)⥌penny
  ⥌0.45⥌PUDA Vanillinzucker⥌;je 15 x 8 g (1 kg = 3.75)⥌penny
  ⥌1.29⥌DR. OETKER Vanillinzucker⥌;je 10 x 8 g (1 kg = 16.13)⥌penny
23⥌1.29⥌NESTLÉ Getreide­riegel*⥌;je 4 x 25 g (1 kg = 12.90)⥌penny
25⥌2.99⥌BEST MOMENTS Pistaziencreme⥌;je 200 g (1 kg = 14.95)⥌penny
35⥌1.29⥌ZENTIS Frühstückskonfitüre*⥌;je 230 g (1 kg = 5.61)⥌penny
35⥌1.29⥌ZENTIS Lemon Curd*⥌;je 220 g (1 kg = 5.86)⥌penny
  ⥌5.99⥌SENSEO Pads XXL*⥌;mit App: je 333 g (1 kg = 17.99); ohne App: je 333 g (1 kg = 19.49)⥌penny
20⥌3.99⥌MELITTA Barista*⥌;je 110 g (1 kg = 36.27)⥌penny
32⥌2.22⥌DALLMAYR Kaffeepads*⥌;je 124 g (1 kg = 17.90)⥌penny
28⥌13.49⥌DALLMAYR Barista*⥌;je 1.000 g⥌penny
20⥌0.79⥌HITSCHIES Stange⥌;je Stück⥌penny
20⥌1.99⥌GRANOLA Bloomies oder Rexies Kinder Cerealien⥌;mit App: je 500 g (1 kg = 3.98); ohne App: je 500 g 2.49 (1 kg = 4.98)⥌penny
42⥌1.99⥌BARILLA Pesto alla genovese⥌;mit App: je 190 g (1 kg = 10.47); ohne App: je 190 g 3.49 (1 kg = 18.37)⥌penny
42⥌1.99⥌BARILLA Pesto Rosso⥌;mit App: je 200 g (1 kg = 9.95) ; ohne App: je 200 g 3.49 (1 kg = 17.45)⥌penny
23⥌2.29⥌THOMY Reines Sonnenblumenöl⥌;mit App: je 750 ml (1 l = 3.05); ohne App: je 750 ml 2.99 (1 l = 3.99)⥌penny
38⥌5.99⥌GORBATSCHOW Wodka⥌;mit App: je 0,7 I (1 l = 8.56); ohne App: je 0,7 I (1 l = 9.27)⥌penny
30⥌0.69⥌GEROLSTEINER Mineralwasser⥌;mit App: je 1,5 I (1 l = 0.46); ohne App: je 1,5 I (1 l = 0.53)⥌penny
26⥌1.99⥌HOHES C Super Shots*⥌;je 0,33 l (1 l = 6.03)⥌penny
44⥌2.49⥌SÖHNLEIN Brillant Sekt*⥌;je 0,75 l (1 l = 3.32)⥌penny
32⥌2.69⥌BITBURGER Premium Pils*⥌;je 4 x 0,5 l (1 l = 1.35)⥌penny
22⥌5.99⥌CORONA Mexican Beer*⥌;je 6 x 355 ml (1 l = 2.81)⥌penny
23⥌1.29⥌LIPTON Ice Tea⥌;mit App: je 1,25 l (1 l = 1.03); ohne App: je 1,25 l 1.69 (1 l = 1.35)⥌penny
29⥌1.19⥌GRANINI Trinkgenuss⥌;je 1 l⥌penny
29⥌1.19⥌GRANINI Sensation⥌;mit App: je 0,75 l (1 l = 1.59); ohne App: je 0,75 l 1.69 (1 l = 2.25)⥌penny
  ⥌2.99⥌Amaryllis im Geschenkkarton*⥌;je Stück⥌penny
  ⥌6.99⥌Schmetterlingsorchidee*⥌;je Stück⥌penny
  ⥌2.49⥌Chrysanthemen⥌;je Bund⥌penny
  ⥌2.99⥌TEMPO⥌;je 30 x 10 Stück⥌penny
17⥌2.29⥌GILLETTE Rasiergel⥌;je 200 ml (1 I = 11.45)⥌penny
  ⥌2.49⥌DR.BEST Zahnbürsten*⥌;je 3 Stück⥌penny
  ⥌6.99⥌SENSODYNE Proschmelz Zahnpasta*⥌;je 2 x 75 ml (1 l = 46.60)⥌penny
  ⥌1.49⥌FA Deospray*⥌;je 150 ml (1 l = 9.93)⥌penny
  ⥌2.99⥌POLY PALETTE Creme Coloration*⥌;je 115 ml (1 l = 26.00)⥌penny
19⥌3.15⥌FAIRY Original XXL*⥌;je 1.250 ml (1 l = 2.52)⥌penny
  ⥌4.79⥌WC FRISCH Kraft Aktiv*⥌;je 200 g (1 kg = 23.95)⥌penny
11⥌7.99⥌SOMAT All in 1 Extra Tabs*⥌;je 1.045 g (1 kg = 7.65)⥌penny
10⥌4.49⥌LENOR Colorwaschmittel⥌;je 900 ml (1 l = 4.99)⥌penny
  ⥌12.99⥌PERWOLL*⥌;je 4 l (1 l = 3.25)⥌penny
  ⥌4.99⥌LUCKY DOG Adventskalender*⥌;je 245 g (1 kg = 20.37)⥌penny
  ⥌4.99⥌LUCKY CAT Adventskalender*⥌;je 200 g (1 kg = 24.95)⥌penny
  ⥌6.99⥌HOME IDEAS Living Deko-Kissen, Kuscheldecke oder Wohndecke mit Tiermotiv*⥌;je Stück⥌penny
  ⥌15.99⥌HOME IDEAS Hoodie-Decke*⥌;je Stück⥌penny
  ⥌1.99⥌FACKELMANN Verschiedene Backhelfer*⥌;je Stück⥌penny
  ⥌4.99⥌HOME IDEAS Silikonbackform und mehr ...*⥌;je Stück⥌penny
  ⥌6.99⥌ZENKER Backform*⥌;je Stück⥌penny
  ⥌8.99⥌Isolierkanne*⥌;je Stück⥌penny
  ⥌1.49⥌Hornveilchen*⥌;je Stück⥌penny
  ⥌1.99⥌Mühlenbeckia und Stacheldrahtpflanze*⥌;je Stück⥌penny
  ⥌3.69⥌Herbststern*⥌;je Stück⥌penny
  ⥌3.99⥌Thermoleggings oder -Strumpfhose*⥌;je Stück⥌penny
25⥌14.99⥌LEGO CITY Bausteine-Set*⥌;je Set⥌penny
40⥌14.99⥌SPIN MASTER GABBY'S DOLLHOUSE Puppenhaus-Spiel-Set*⥌;je Set⥌penny
33⥌9.99⥌SPIN MASTER GABBY'S DOLLHOUSE Cat-tivity-Set*⥌;je Set⥌penny
28⥌4.99⥌SPIN MASTER GABBY'S DOLLHOUSE Spielfiguren-Set*⥌;je Set⥌penny
42⥌1.99⥌SPIN MASTER GABBY'S DOLLHOUSE Sticker-Set*⥌;je Set⥌penny
31⥌12.99⥌SIMBA Plüschfigurenklassiker von Walt Disney*⥌;je Set⥌penny
  ⥌12.99⥌SIMBA ART & FUN Spielzeug*⥌;je Set⥌penny
  ⥌7.99⥌ASTERIX Nr. 41: Asterix in Lusitanien*⥌;je Stück⥌penny
  ⥌2.99⥌UHU Klebesortiment Heim-Deko*⥌;je Set/Packung⥌penny
  ⥌3.99⥌3M Command BRAND*⥌;je Packung⥌penny
  ⥌9.99⥌HARIBO Duftglas*⥌;je Stück⥌penny
  ⥌3.99⥌LED-Deko-Drahtlichterketten*⥌;je Stück⥌penny
  ⥌3.99⥌20er-LED-Deko-Silberdraht*⥌;je Stück⥌penny
  ⥌7.99⥌Wichtel mit LED-Nase*⥌;je Stück⥌penny
  ⥌7.99⥌LED-Schneekugel*⥌;je Stück⥌penny
  ⥌1.99⥌LED-Holzhäuschen*⥌;je Stück⥌penny
  ⥌4.99⥌48er-LED-Lichterkette*⥌;je Stück⥌penny
  ⥌9.99⥌LED-Acrylfigur*⥌;je Stück⥌penny
  ⥌3.99⥌10er-LED-Lichterkette*⥌;je Stück⥌penny
  ⥌9.99⥌Weihnachtsdorf mit LEDs*⥌;je Set⥌penny
  ⥌4.99⥌Porzellanteller oder -dose*⥌;je Stück⥌penny
  ⥌2.99⥌GLADE Duftkerze*⥌;je Stück⥌penny
50⥌0.39⥌EHRMANN Almighurt Joghurt⥌;je 150 g (1 kg = 2.60)⥌penny
33⥌1.99⥌RAMA Sooo buttrig!*⥌;je 400 g (1 kg = 4.98)⥌penny
25⥌2.99⥌LE RUSTIQUE Camembert*⥌;je 240 g (1 kg = 12.46)⥌penny
25⥌2.99⥌LE RUSTIQUE Camembert*⥌;je 250 g (1 kg = 11.96)⥌penny
  ⥌0.99⥌EHRMANN Grand Dessert Mousse*⥌;je 170 g (1 kg = 5.82)⥌penny
  ⥌1.69⥌ZOTT Monte Drink*⥌;je 4 x 95 ml (1 l = 1.11)⥌penny
  ⥌1.59⥌ARLA Laktosefreie Frischmilch*⥌;je 1 l⥌penny
23⥌0.99⥌PENNY READY Brotaufstrich⥌;je 150 g (1 kg = 6.60)⥌penny
  ⥌1.79⥌GUSTORIA Kartoffelpuffer*⥌;je 600 g (1 kg = 2.98)⥌penny
  ⥌1.49⥌STOCKMEYER Feine Schinkenwurst*⥌;je 100 g (1 kg = 14.90)⥌penny
  ⥌1.49⥌STOCKMEYER Schlemmer-Buffet*⥌;je 100 g (1 kg = 14.90)⥌penny
  ⥌4.79⥌PICK Ungarische Salami*⥌;je 250 g (1 kg = 19.16)⥌penny
  ⥌0.44⥌Kaki⥌;je Stück⥌penny
  ⥌je3.99⥌BEST MOMENTS Dunkle kernlose oder helle kernlose Tafeltrauben⥌;je kg⥌penny
  ⥌2.99⥌MITAKOS Back-Hirtenkäse*⥌;je 350 g (1 kg = 8.54)⥌penny
  ⥌2.99⥌MITAKOS Feta Twin-Pack*⥌;je 2 x 125 g (1 kg = 11.96)⥌penny
  ⥌1.99⥌MITAKOS Cremiger Hirtenkäse*⥌;je 175 g (1 kg = 11.37)⥌penny
  ⥌1.99⥌MITAKOS Feta Creme*⥌;je 130 g (1 kg = 15.31)⥌penny
  ⥌2.49⥌MITAKOS Antipasti-Mix*⥌;je 210 g (1 kg = 11.86)⥌penny
  ⥌3.33⥌MITAKOS Frische Bifteki*⥌;je 315-g-Packung (1 kg = 10.57)⥌penny
  ⥌2.89⥌MITAKOS Gefüllte Frikadellen*⥌;je 325 g (1 kg = 8.89)⥌penny
  ⥌3.79⥌MITAKOS Blätterteigschnecke*⥌;je 1.000 g⥌penny
  ⥌2.39⥌MITAKOS Bougatsa*⥌;je 450 g (1 kg = 5.31)⥌penny
  ⥌3.79⥌MITAKOS Mini-Spinat­taschen*⥌;je 1.000 g⥌penny
  ⥌2.99⥌MITAKOS Gemüsepfanne*⥌;je 600 g (1 kg = 4.98)⥌penny
  ⥌0.99⥌MITAKOS Expressreis*⥌;je 250 g (1 kg = 3.96)⥌penny
  ⥌2.49⥌MITAKOS Biftekitopf*⥌;je 800 g (1 kg = 3.11)⥌penny
  ⥌2.49⥌MITAKOS Gyrossuppe*⥌;je 800 g (1 kg = 3.11)⥌penny
  ⥌1.29⥌MITAKOS Eintopf*⥌;je 400 g (1 kg = 3.23)⥌penny
  ⥌1.99⥌MITAKOS Schalengericht*⥌;je 300 g (1 kg = 6.63)⥌penny
  ⥌1.69⥌MITAKOS Pita Schiffchen*⥌;je 300 g (1 kg = 5.63)⥌penny
  ⥌1.99⥌MITAKOS Miesmuscheln*⥌;je 120 g (1 kg = 16.58)⥌penny
  ⥌4.99⥌MITAKOS Pfefferonen*⥌;je 1.500 g (1 kg = 6.24)⥌penny
  ⥌2.99⥌MITAKOS Oliven ohne Stein*⥌;je 4 x 120 g (1 kg = 12.46)⥌penny
  ⥌6.99⥌MITAKOS Riesenoliven ohne Stein*⥌;je 1.650 g (1 kg = 8.22)⥌penny
  ⥌1.69⥌MITAKOS Auberginen oder Grüne Bohnen*⥌;je 280 g (1 kg = 6.04)⥌penny
  ⥌0.89⥌MITAKOS Gewürzzubereitung*⥌;je 55 g (1 kg = 16.18)⥌penny
  ⥌5.99⥌MITAKOS Griechisches natives Olivenöl*⥌;je 500 ml (1 l = 11.98)⥌penny
  ⥌1.49⥌MITAKOS Mini-Cremewaffeln*⥌;je 75 g (1 kg = 19.87)⥌penny
  ⥌2.99⥌MITAKOS Baklava*⥌;je 200 g (1 kg = 14.95)⥌penny
  ⥌1.99⥌MITAKOS Halva*⥌;je 250 g (1 kg = 7.96)⥌penny
  ⥌1.49⥌MITAKOS Soft-Nougat*⥌;je 4 x 35 g (1 kg = 10.64)⥌penny
  ⥌2.29⥌MITAKOS Tahini*⥌;je 300 g (1 kg = 7.63)⥌penny
  ⥌3.99⥌MITAKOS Kretischer Blütenhonig*⥌;je 450 g (1 kg = 8.87)⥌penny
  ⥌0.99⥌MITAKOS Erdnüsse*⥌;je 100 g (1 kg = 9.90)⥌penny
  ⥌0.99⥌MITAKOS Nussriegel*⥌;je 2 x 70 g (1 kg = 7.07)⥌penny
  ⥌1.29⥌FERRERO Kinder Halloween-Figur*⥌;je 35 g (1 kg = 36.86)⥌penny
  ⥌3.79⥌FERRERO Kinder Minis Happy Moments*⥌;je 161 (1 kg = 23.54)⥌penny
  ⥌0.79⥌TROLLI Dracula oder Super Brain*⥌;je 150 g (1 kg = 5.27)⥌penny
  ⥌1.19⥌TROLLI Glotzer*⥌;je 75 g (1 kg = 15.87)⥌penny
  ⥌3.49⥌FRITT Halloween Mix*⥌;je 350 g (1 kg = 9.97)⥌penny
28⥌0.99⥌HITSCHIES Saure Spinnenbeine*⥌;je 125 g (1 kg = 7.92)⥌penny
  ⥌1.79⥌NIMM 2 Lachgummi Minis*⥌;je 258 g (1 kg = 6.94)⥌penny
  ⥌2.25⥌CHOCO’LA Halloween-Monster-Augen*⥌;je 150 g (1 kg = 15.00)⥌penny
  ⥌2.49⥌CHOCO’LA Grusel-Eiskonfekt*⥌;je 250 g (1 kg = 9.96)⥌penny
  ⥌1.19⥌CHOCO’LA Lolli*⥌;je 26 g (1 kg = 45.77)⥌penny
  ⥌2.29⥌CHOCO’LA Halloween Schaumküsse*⥌;je 225 g (1 kg = 10.18)⥌penny
  ⥌1.19⥌COVO Monster-Mampf Mini*⥌;je 6 x 37,5 g (1 kg = 5.29)⥌penny
  ⥌1.99⥌LORENZ Monster Munch oder Pommels*⥌;je 160 g (1 kg = 12.44)⥌penny
36⥌2.22⥌LORENZ Snack-Hits*⥌;je 280 g (1 kg = 7.93)⥌penny
16⥌0.99⥌KÜCHLE Knabber-Esspapier*⥌;je 11 g (1 kg = 90.00)⥌penny
  ⥌2.49⥌Bunte gekochte Halloween-Eier*⥌;je 10 Stück⥌penny
  ⥌2.69⥌RANA Kürbis-Ravioli Halloween-Edition*⥌;je 250 g (1 kg = 10.76)⥌penny
  ⥌3.49⥌LANDMARK Halloween Nuggets*⥌;je 400 g (1 kg = 8.73)⥌penny
  ⥌1.29⥌DALLA COSTA Halloween Pasta*⥌;je 250 g (1 kg = 5.16)⥌penny
  ⥌3.49⥌FRITT Soda Sirup*⥌;je 500 ml (1 l = 6.98)⥌penny
28⥌2.49⥌ROBBY BUBBLE Magic-Drink*⥌;je 0,75 l (1 l = 3.32)⥌penny
33⥌4.00⥌FERRERO Duplo oder Hanuta⥌;je 2 x 11 x 18,2 g (1 kg = 9.99)⥌penny
20⥌20%Rabatt⥌FERRERO-Kühlartikel⥌;gilt nicht für Eis und Tiefkühlartikel⥌penny
  ⥌0.89⥌Avocado angereift⥌;je Stück⥌penny
18⥌1.79⥌LINDENHOF Käseaufschnitt⥌;mit App: je 250 g (1 kg = 7.16); ohne App: je 250 g (1 kg = 7.96)⥌penny
20⥌3.19⥌MÜHLENHOF Frische Kasseler-Minutensteaks⥌;mit App: je 400-g-Packung (1 kg = 7.98); ohne App: je 400-g-Packung (1 kg = 8.73)⥌penny
24⥌1.99⥌NATURGUT Bio Knusper-Müsli⥌;mit App: je 500 g (1 kg = 3.98); ohne App: je 500 g (1 kg = 4.58)⥌penny
48⥌0.77⥌MONSTER Energy-Drink⥌;mit App: je 0,5 l (1 l = 1.54); ohne App: je 0,5 l (1 l = 1.98)⥌penny
